id,chapter,image_type,filename,prompt,notes
15,Chapter 8,Maru Batsu,maru-batsu.png,"Japanese symbol chart. Row of symbols with meanings: ◎ 'Excellent', ○ 'Good/Yes', △ 'Caution', □ 'Info', × 'No/Wrong', ー 'N/A'. Clean grid layout. Each symbol in a bordered cell with Japanese and English labels.",Symbol language reference
16,Chapter 8,Filled vs Outlined,filled-outlined.png,"Comparison grid: ● vs ○ (filled/outlined circle), ▲ vs △ (triangle), ■ vs □ (square), ◆ vs ◇ (diamond). Labels showing 'Strong' for filled, 'Standard' for outlined. Two-column layout.",Symbol intensity guide
17,Chapter 9,Container Types,container-types.png,"Four container diagrams stacked vertically: JohoContainer (3pt border, 16pt radius), JohoCard (1.5pt border, 12pt radius), JohoSectionBox (with header pill), JohoFormSection (black header bar). Each labeled with specs.",Container reference
18,Chapter 9,Nesting Diagram,nesting-diagram.png,"Three levels of nested containers. Outer container (3pt), section inside (1.5pt), cards inside section (1.5pt), elements inside cards (1pt). Arrows pointing to each border weight. Exploded view style.",Container hierarchy
19,Chapter 10,Button States,button-states.png,"Three button states side by side: Normal (white bg, 2pt border), Pressed (light gray bg), Disabled (50% opacity). Each labeled. Same 'Action' text in all three. Technical UI specification.",Button state reference
20,Chapter 10,Toggle Design,toggle-design.png,"Toggle switch diagram showing OFF and ON states. OFF: white track, circle on left. ON: cyan track, circle on right. Both with 2pt black border around track. Animation arrow between states.",Toggle component spec
21,Chapter 10,Swipe Actions,swipe-actions.png,"List row with swipe actions revealed. Left side shows cyan 'Edit' action. Right side shows red 'Delete' action. Center shows content. Arrows indicating swipe direction. Technical UI diagram.",Swipe gesture reference
22,Chapter 11,Bento Header,bento-header.png,"Header component diagram with three zones labeled: Zone A (fixed width, hero number '42'), Zone B (flexible, context info), Zone C (fixed width, navigation arrows). Measurements shown. 3pt outer border.",Bento header anatomy
23,Chapter 11,Navigation Comparison,navigation-comparison.png,"Two layouts: LEFT 'iPad Sidebar' showing vertical navigation with 200pt sidebar and content area. RIGHT 'iPhone Tab Bar' showing content area with bottom tab bar. Both with proper borders and labels.",Adaptive navigation
24,Chapter 12,Calendar Grid,calendar-grid.png,"7-column calendar grid. Header row (M T W T F S S) on black background with white text. Day cells below with numbers and colored indicator dots. 'Today' cell highlighted yellow. Sunday column in red text. All cells bordered.",Calendar component
25,Chapter 12,Week Row,week-row.png,"Horizontal week row diagram. Week number badge on left (WK 42), 7 day cells in middle with indicator dots, date range on right (Oct 14-20). Labels pointing to each zone. 1.5pt border around entire row.",Week row anatomy
26,Chapter 13,Architecture,architecture.png,"Flow diagram showing app architecture. Boxes connected by arrows: 'View Layer' → 'Manager Layer' → 'Model Layer' → 'Engine Layer'. Each box with 2pt border. Labels for each layer's responsibility.",Architecture overview
27,Chapter 14,Day Cell States,day-cell-states.png,"Four day cells showing states: Normal (white bg, black text), Today (yellow bg), Sunday (red text), Selected (yellow tint, 2.5pt border). Each labeled. Grid layout.",Day cell states
28,Chapter 14,Indicator Legend,indicator-legend.png,"Legend showing all indicator dot colors with labels: Cyan dot 'Events', Pink dot 'Holidays', Orange dot 'Trips', Green dot 'Expenses', Purple dot 'Contacts', Yellow dot 'Notes'. Each dot has black border. Vertical list.",Indicator color key
29,Chapter 15,Star Page,star-page.png,"Complete Star Page mockup. Star icon at top, bento header below, 'Today' section with cyan header pill and event cards, 'Upcoming' section with pink header pill and holiday cards. Full interface demonstration.",Star Page reference
30,Chapter 16,Before After Settings,before-after-settings.png,"Side by side: LEFT 'Before' showing iOS default toggle rows with gray separators, no borders. RIGHT 'After' showing bordered cards with custom toggles. Labels highlighting differences.",Settings transformation
31,Chapter 16,Before After Card,before-after-card.png,"Side by side: LEFT 'Before' showing card with shadow, emoji, rounded corners. RIGHT 'After' showing card with border, SF Symbol, squircle corners. Red X on problems, green check on solutions.",Card transformation
32,Chapter 17,Code Components,code-components.png,"Grid of 6 component previews: JohoButton, JohoCard, JohoToggle, JohoTextField, JohoSectionBox, JohoIndicator. Each in a small bordered box with component name below. Technical component library style.",Component overview
33,Chapter 18,Checklist,checklist.png,"Visual checklist with checkboxes: Borders on all containers, Semantic colors only, Continuous corners, Rounded typography, 4pt spacing grid, 44pt touch targets, No shadows/blur. Black and white, technical style.",Audit checklist
34,Chapter 18,Decision Tree,decision-tree.png,"Flowchart for border weight decisions. Diamond decision nodes: 'Interactive?' → 'Container?' → 'Card?' → 'Cell?'. Rectangular outcome nodes with border weights: 2pt, 3pt, 1.5pt, 1pt. Black lines connecting nodes.",Border decision tree
35,Back Cover,Full Back Cover,back-cover.png,"Back cover for 'Information Design' book. White background with thick black border. TOP: Book description text area (placeholder lines). MIDDLE: Three key bullet points with black circular bullets: 'Complete design system with SwiftUI code', 'Real-world case study: WeekGrid app', 'Production-ready components'. BOTTOM LEFT: Small author photo placeholder (square with black border). BOTTOM RIGHT: QR code placeholder linking to weekgrid.app. Very bottom: ISBN barcode placeholder. Clean, minimal layout matching front cover style.",Complete back cover layout
36,Spine,Book Spine,spine.png,"Vertical book spine for 'Information Design'. White background, black borders top and bottom. Text reading vertically (bottom to top): 'INFORMATION DESIGN' in bold, small separator dot, 'Nils Johansson' in lighter weight. Small colored dots (cyan, pink, yellow) as accent near top. Spine width approximately 0.5 inches for ~180 page book.",Book spine design
